"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"01550","SOUTHBRIDGE, MA",,"G",5034,"G",48549,"G",209714,324,"SOUTHBRIDGE","MA","WORCESTER"
"01560","SOUTH GRAFTON, MA",,"G",355,"G",4112,"G",18297,62,"SOUTH GRAFTON","MA","WORCESTER"
"01561","SOUTH LANCASTER, MA",,"H",575,"G",5719,"G",23873,29,"SOUTH LANCASTER","MA","WORCESTER"
"01562","SPENCER, MA",,"H",2876,"H",27821,"H",118497,220,"SPENCER","MA","WORCESTER"
"01564","STERLING, MA",,"G",2204,"G",21166,"G",95222,193,"STERLING","MA","WORCESTER"
"01566","STURBRIDGE, MA",,"G",3580,"G",24701,"G",113150,229,"STURBRIDGE","MA","WORCESTER"
"01568","UPTON, MA",,"G",706,"G",5690,"G",28164,153,"UPTON","MA","WORCESTER"
"01569","UXBRIDGE, MA",,"G",3476,"G",35550,"G",161103,271,"UXBRIDGE","MA","WORCESTER"
"01570","WEBSTER, MA",,"G",6300,"H",65319,"H",267314,372,"WEBSTER","MA","WORCESTER"
"01571","DUDLEY, MA",,"G",2409,"G",22237,"G",90732,162,"DUDLEY","MA","WORCESTER"
"01581","WESTBOROUGH, MA",,"G",23864,"G",420758,"G",1708796,942,"WESTBOROUGH","MA","WORCESTER"
"01583","WEST BOYLSTON, MA",,"G",2509,"G",22878,"G",98263,237,"WEST BOYLSTON","MA","WORCESTER"
"01585","WEST BROOKFIELD, MA",,"H",773,"H",5335,"H",27267,87,"WEST BROOKFIELD","MA","WORCESTER"
"01588","WHITINSVILLE, MA",,"G",3155,"G",27578,"G",118443,202,"WHITINSVILLE","MA","WORCESTER"
"01590","SUTTON, MA",,"G",1703,"G",17561,"G",87284,155,"SUTTON","MA","WORCESTER"
"01601","WORCESTER, MA",,"G",123,"H",1593,"H",6528,8,"WORCESTER","MA","WORCESTER"
"01602","WORCESTER, MA",,"G",2630,"G",21172,"G",89748,295,"WORCESTER","MA","WORCESTER"
