address,link,rest_num
57 West 76th Street Manhattan NY,https://www.yelp.com/search?find_loc=57 West 76th Street Manhattan NY&cflt=restaurants,402
431 East 21st Street Brooklyn NY,https://www.yelp.com/search?find_loc=431 East 21st Street Brooklyn NY&cflt=restaurants,367
248 Mulberry Street Manhattan NY,https://www.yelp.com/search?find_loc=248 Mulberry Street Manhattan NY&cflt=restaurants,2378
301 East 79th Street New York NY,https://www.yelp.com/search?find_loc=301 East 79th Street New York NY&cflt=restaurants,717
6265 60th Street Ridgewood NY,https://www.yelp.com/search?find_loc=6265 60th Street Ridgewood NY&cflt=restaurants,263
2656 Grand Concourse Bronx NY,https://www.yelp.com/search?find_loc=2656 Grand Concourse Bronx NY&cflt=restaurants,287
576 10th Street Brooklyn NY,https://www.yelp.com/search?find_loc=576 10th Street Brooklyn NY&cflt=restaurants,328
11 Meserole Street Brooklyn NY,https://www.yelp.com/search?find_loc=11 Meserole Street Brooklyn NY&cflt=restaurants,516
196 8th Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=196 8th Avenue Brooklyn NY&cflt=restaurants,415
100 Franklin Street Brooklyn NY,https://www.yelp.com/search?find_loc=100 Franklin Street Brooklyn NY&cflt=restaurants,306
3709 147th Street Queens NY,https://www.yelp.com/search?find_loc=3709 147th Street Queens NY&cflt=restaurants,462
14148 85th Road Briarwood NY,https://www.yelp.com/search?find_loc=14148 85th Road Briarwood NY&cflt=restaurants,229
658 Burke Avenue Bronx NY,https://www.yelp.com/search?find_loc=658 Burke Avenue Bronx NY&cflt=restaurants,151
861 Cauldwell Avenue Bronx NY,https://www.yelp.com/search?find_loc=861 Cauldwell Avenue Bronx NY&cflt=restaurants,280
95 Perry Street Manhattan NY,https://www.yelp.com/search?find_loc=95 Perry Street Manhattan NY&cflt=restaurants,1259
8908 144th Street Jamaica NY,https://www.yelp.com/search?find_loc=8908 144th Street Jamaica NY&cflt=restaurants,213
25 Washington Street Brooklyn NY,https://www.yelp.com/search?find_loc=25 Washington Street Brooklyn NY&cflt=restaurants,223
2123 Wallace Avenue Bronx NY,https://www.yelp.com/search?find_loc=2123 Wallace Avenue Bronx NY&cflt=restaurants,156
2738 East 19th Street Brooklyn NY,https://www.yelp.com/search?find_loc=2738 East 19th Street Brooklyn NY&cflt=restaurants,188
615 Fort Washington Avenue Manhattan NY,https://www.yelp.com/search?find_loc=615 Fort Washington Avenue Manhattan NY&cflt=restaurants,227
